Classifier,Accuracy Average App,Recall Average App,Precision Average App,Type
GridSGD,0.9479789103690685,0.8699472759226714,0.8221938186788801,train
GridSGD,0.9640816326530612,0.9102040816326532,0.9184698147041244,test
GridLogReg,0.9493848857644992,0.8734622144112478,0.8859872769127948,train
GridLogReg,0.9542857142857144,0.8857142857142857,0.7844897959183673,test
GridRandForest,1.0,1.0,1.0,train
GridRandForest,0.9526530612244898,0.8816326530612245,0.8354761904761905,test
